Stock,RMSE,MAE,R²,Explained_Variance,MSLE,Correlation,sMAPE(%),Final_Accuracy(%)
EICHERMOT.NS,616.7234739886231,560.7822700112553,0.29646036352511584,0.8781564748584063,0.011639283967738523,0.989774033630631,10.168067307424154,89.83193269257585
BRITANNIA.NS,92.197450672373,70.42982405323093,0.9634451548350255,0.963813739678669,0.0002906361271119605,0.9817551894264385,1.3088162429888748,98.69118375701113
HEROMOTOCO.NS,250.86870973792483,193.87611208123676,0.8489350288847008,0.9139986101445312,0.002706657144443548,0.9801388329970088,4.205333899482305,95.7946661005177
ASIANPAINT.NS,54.23721271535047,45.231248758606995,0.7858459880180584,0.8773812187214164,0.000527834864157524,0.9368305543316439,1.9112578077527247,98.08874219224728
CIPLA.NS,45.461810118133705,38.78120396500927,0.2304978217714574,0.7444684306413479,0.0009269646065247276,0.866604571378582,2.6149354512427982,97.3850645487572
ULTRACEMCO.NS,316.5799850689201,267.74142197431144,0.7455725566270361,0.8792623908938764,0.0007408436455129992,0.9401379736000774,2.3016533366994003,97.6983466633006
INFY.NS,39.40539292512855,30.85349131438692,0.9398667624344724,0.9545088815133858,0.0005575540017654913,0.9827549879668799,1.8906959547995743,98.10930404520043
DRREDDY.NS,56.07285665627037,50.907262769796084,0.2916221371279095,0.8607303456019129,0.0020672190949800446,0.9357259451141458,4.157528709410585,95.84247129058942
ADANIPORTS.NS,83.43442699026339,75.41685459977487,0.602114054380414,0.9222841718576776,0.004100955276283371,0.9732678794211806,5.860866791911691,94.13913320808831
MARUTI.NS,591.0342038244139,507.045695676642,0.8759848684771904,0.9666110372698999,0.0019473441783439513,0.9888399271308836,3.8790784766104536,96.12092152338954
COALINDIA.NS,6.987900093008345,5.282601695949745,0.6710914523641456,0.6861500372944582,0.0003673994308987677,0.8307852579167064,1.4426904566014758,98.55730954339852
AXISBANK.NS,34.395683977911304,30.10309148238877,0.810375375451001,0.9168174927770598,0.0009712662776974202,0.9587438878745884,2.703164179887286,97.29683582011272
HCLTECH.NS,41.852175498498596,33.06485761222193,0.9105729066263127,0.9280006869497632,0.0006972264717690092,0.9640047718356903,2.083117567390539,97.91688243260946
SUNPHARMA.NS,50.35707645535736,43.13210800946769,0.4661862512569628,0.7563900984529648,0.0008778096728711673,0.8698133806794953,2.5543581152684047,97.4456418847316
RELIANCE.NS,31.393585805447117,25.556391311904132,0.8977116027762071,0.9465335679320912,0.0005412223873510946,0.9743380696253289,1.8970053867948127,98.10299461320518
HDFCBANK.NS,22.891036861979366,20.442296949483584,0.8633787575434423,0.9658723495629871,0.0005940578973609791,0.9868999648684672,2.190771461161797,97.8092285388382
WIPRO.NS,5.50696772329714,4.172814385365633,0.9400004314495595,0.9476619042781178,0.00043386646721153474,0.973479291885608,1.586569639183882,98.41343036081612
KOTAKBANK.NS,33.290851721422314,23.25054569567664,0.9404924700870492,0.9430199288201414,0.00026875124256182996,0.9710931078647133,1.1512354957245503,98.84876450427545
ICICIBANK.NS,27.42379095470734,21.983255160056938,0.8824364618640127,0.8830563442400226,0.0004188181374444001,0.9439692233429889,1.6355376095908523,98.36446239040914
ONGC.NS,7.256343785245982,5.685629311254469,0.2937745087470215,0.5201587812894348,0.0009021354586503492,0.7313332695422885,2.365978565695654,97.63402143430434
