Stock,RMSE,MAE,R²,Explained_Variance,MSLE,Correlation,sMAPE(%),Final_Accuracy(%)
EICHERMOT.NS,241.92037483373133,184.3865139201536,0.8917438680669099,0.941723611594655,0.001551215351313367,0.9882966886942625,3.1273577222513116,96.87264227774868
BRITANNIA.NS,97.15801597698885,74.07577256024894,0.9594057615200489,0.9671926396449232,0.00031888306513719593,0.9835815773540058,1.3765388195452326,98.62346118045477
HEROMOTOCO.NS,178.08224174937618,145.9072224245233,0.9238776814341221,0.9280897044106987,0.0014487829319961678,0.983576761894253,3.2237147421706283,96.77628525782937
ASIANPAINT.NS,55.0783441577829,43.91792737023305,0.7791521171733464,0.8108463577189191,0.0005578558281466356,0.9043955782827867,1.8697812351656806,98.13021876483432
CIPLA.NS,26.72148452333255,20.927621615135063,0.7341494458637772,0.7452701742180304,0.0003192981999405235,0.8633075667485595,1.4014955028812692,98.59850449711872
ULTRACEMCO.NS,268.0594718352605,214.49947033898306,0.8175854985935305,0.8782625448260238,0.0005405498148036912,0.937468942469597,1.8494494995728634,98.15055050042713
INFY.NS,31.266345282039048,23.4557712360964,0.9621420144354214,0.9640259200668723,0.0003881481350857764,0.9823649192246411,1.4763542295248704,98.52364577047513
DRREDDY.NS,24.01738974671281,19.07222786596266,0.8700395434621797,0.8762791720693258,0.0003799425685652949,0.9361293087711802,1.5489288251588245,98.45107117484118
ADANIPORTS.NS,81.02597786458722,73.97805734408101,0.6247535556655062,0.9330714435806639,0.0038947364814150825,0.9756847888565509,5.766647593444434,94.23335240655557
MARUTI.NS,486.62064891895045,398.4175342624471,0.915932038666702,0.9698346309680036,0.0012812483059130297,0.9901518881427872,3.011215430361898,96.9887845696381
COALINDIA.NS,13.515773652630951,11.736277822720803,-0.2304483559726711,0.6609487754524133,0.0013385761238020844,0.8176032442852724,3.16251872051679,96.83748127948321
AXISBANK.NS,25.46911914341704,19.210923534328654,0.8960284104078092,0.9039054619419433,0.0005058075163504725,0.959551137427113,1.7091798749343758,98.29082012506562
HCLTECH.NS,37.99437306364861,27.47450747732388,0.9262992987030658,0.9263079356244424,0.0005921732812000149,0.962846438957768,1.747891398691787,98.25210860130821
SUNPHARMA.NS,82.46441562245339,75.49063731048066,-0.4315347977653139,0.7571059787804135,0.002431525509396388,0.8701886322931975,4.531379005002352,95.46862099499765
RELIANCE.NS,44.68226296019409,38.95568175235037,0.7927880271156746,0.9398715928871618,0.001080468568869803,0.974549677629219,2.888973856069149,97.11102614393086
HDFCBANK.NS,10.809861391495758,8.533601663880429,0.9695331501887317,0.9724758126443032,0.00013879241174943194,0.9864924837279212,0.9273914360037749,99.07260856399623
WIPRO.NS,5.223722311915528,3.9637312161720395,0.9460137442119148,0.9484825924479234,0.0003892676170644065,0.9739214082544475,1.5060079166795843,98.49399208332042
KOTAKBANK.NS,33.61186730429657,23.562382584911276,0.939339303649538,0.9413878918963666,0.000274194221177506,0.9704728284368939,1.166993640240768,98.83300635975924
ICICIBANK.NS,35.8659050907632,30.357161699715306,0.7989142671344434,0.8658986105419995,0.0007148854697937204,0.9308534521889604,2.2479233347254555,97.75207666527454
ONGC.NS,8.077792643691609,6.588544942564883,0.12482865889917327,0.5162205659235507,0.0011217032525968791,0.7279520215426085,2.748359580296164,97.25164041970383
